precinct;walls_material;roof_material;num
1;Камень;Железо;249
1;Камень;Черепица;87
1;Камень;Тес;24
1;Камень;Без крыши;0
1;Дерево;Железо;61
1;Дерево;Черепица;4
1;Дерево;Тес;1263
1;Дерево;Без крыши;0
1;Смешанный;Железо;36
1;Смешанный;Черепица;4
1;Смешанный;Тес;56
1;Смешанный;Без крыши;1
2;Камень;Железо;497
2;Камень;Черепица;17
2;Камень;Тес;85
2;Камень;Без крыши;0
2;Дерево;Железо;490
2;Дерево;Черепица;91
2;Дерево;Тес;946
2;Дерево;Без крыши;0
2;Смешанный;Железо;70
2;Смешанный;Черепица;5
2;Смешанный;Тес;13
2;Смешанный;Без крыши;8
3;Камень;Железо;296
3;Камень;Черепица;81
3;Камень;Тес;62
3;Камень;Без крыши;0
3;Дерево;Железо;75
3;Дерево;Черепица;25
3;Дерево;Тес;5055
3;Дерево;Без крыши;0
3;Смешанный;Железо;32
3;Смешанный;Черепица;18
3;Смешанный;Тес;146
3;Смешанный;Без крыши;1
4;Камень;Железо;149
4;Камень;Черепица;42
4;Камень;Тес;6
4;Камень;Без крыши;0
4;Дерево;Железо;15
4;Дерево;Черепица;3
4;Дерево;Тес;6252
4;Дерево;Без крыши;0
4;Смешанный;Железо;62
4;Смешанный;Черепица;53
4;Смешанный;Тес;50
4;Смешанный;Без крыши;0
5;Камень;Железо;138
5;Камень;Черепица;52
5;Камень;Тес;30
5;Камень;Без крыши;0
5;Дерево;Железо;19
5;Дерево;Черепица;3
5;Дерево;Тес;6237
5;Дерево;Без крыши;6
5;Смешанный;Железо;19
5;Смешанный;Черепица;0
5;Смешанный;Тес;112
5;Смешанный;Без крыши;3
6;Камень;Железо;55
6;Камень;Черепица;37
6;Камень;Тес;15
6;Камень;Без крыши;0
6;Дерево;Железо;20
6;Дерево;Черепица;8
6;Дерево;Тес;9009
6;Дерево;Без крыши;6
6;Смешанный;Железо;27
6;Смешанный;Черепица;0
6;Смешанный;Тес;13
6;Смешанный;Без крыши;0
